Training: 2023-10-30 11:10:51,987-rank_id: 0
Training: 2023-10-30 11:33:18,738-Speed 1080.93 samples/sec   Loss 25.8753 ArcLoss 16.9302 MSE 8.9451  Epoch: 0   Global Step: 2200   Required: 44 hours
Training: 2023-10-30 11:33:35,990-Speed 1112.97 samples/sec   Loss 25.6902 ArcLoss 16.8304 MSE 8.8598  Epoch: 0   Global Step: 2250   Required: 44 hours
Training: 2023-10-30 11:33:53,798-Speed 1078.25 samples/sec   Loss 25.6045 ArcLoss 16.7863 MSE 8.8182  Epoch: 0   Global Step: 2300   Required: 44 hours
Training: 2023-10-30 11:34:11,377-Speed 1092.26 samples/sec   Loss 25.2329 ArcLoss 16.5120 MSE 8.7209  Epoch: 0   Global Step: 2350   Required: 44 hours
Training: 2023-10-30 11:34:29,205-Speed 1077.01 samples/sec   Loss 25.0364 ArcLoss 16.3630 MSE 8.6733  Epoch: 0   Global Step: 2400   Required: 44 hours
Training: 2023-10-30 11:34:47,008-Speed 1078.53 samples/sec   Loss 24.8238 ArcLoss 16.2615 MSE 8.5623  Epoch: 0   Global Step: 2450   Required: 44 hours
Training: 2023-10-30 11:35:04,735-Speed 1083.17 samples/sec   Loss 24.6093 ArcLoss 16.0782 MSE 8.5311  Epoch: 0   Global Step: 2500   Required: 44 hours
Training: 2023-10-30 11:35:21,833-Speed 1123.00 samples/sec   Loss 24.3690 ArcLoss 15.9227 MSE 8.4463  Epoch: 0   Global Step: 2550   Required: 44 hours
Training: 2023-10-30 11:35:39,593-Speed 1081.13 samples/sec   Loss 24.3146 ArcLoss 15.9016 MSE 8.4131  Epoch: 0   Global Step: 2600   Required: 44 hours
Training: 2023-10-30 11:35:57,522-Speed 1070.95 samples/sec   Loss 24.0480 ArcLoss 15.7219 MSE 8.3262  Epoch: 0   Global Step: 2650   Required: 44 hours
Training: 2023-10-30 11:36:15,316-Speed 1079.06 samples/sec   Loss 23.9859 ArcLoss 15.6660 MSE 8.3199  Epoch: 0   Global Step: 2700   Required: 44 hours
Training: 2023-10-30 11:36:33,150-Speed 1076.63 samples/sec   Loss 23.7167 ArcLoss 15.4656 MSE 8.2511  Epoch: 0   Global Step: 2750   Required: 44 hours
Training: 2023-10-30 11:36:50,816-Speed 1086.93 samples/sec   Loss 23.4370 ArcLoss 15.2874 MSE 8.1496  Epoch: 0   Global Step: 2800   Required: 44 hours
Training: 2023-10-30 11:37:08,045-Speed 1114.47 samples/sec   Loss 23.1373 ArcLoss 15.0919 MSE 8.0453  Epoch: 0   Global Step: 2850   Required: 44 hours
Training: 2023-10-30 11:37:25,248-Speed 1116.11 samples/sec   Loss 23.1087 ArcLoss 15.0849 MSE 8.0238  Epoch: 0   Global Step: 2900   Required: 44 hours
Training: 2023-10-30 11:37:42,373-Speed 1121.22 samples/sec   Loss 22.9280 ArcLoss 14.9785 MSE 7.9495  Epoch: 0   Global Step: 2950   Required: 44 hours
Training: 2023-10-30 11:37:59,407-Speed 1127.25 samples/sec   Loss 22.7424 ArcLoss 14.8085 MSE 7.9339  Epoch: 0   Global Step: 3000   Required: 44 hours
Training: 2023-10-30 11:38:16,385-Speed 1130.90 samples/sec   Loss 22.6529 ArcLoss 14.7342 MSE 7.9187  Epoch: 0   Global Step: 3050   Required: 44 hours
Training: 2023-10-30 11:38:33,768-Speed 1104.62 samples/sec   Loss 22.4789 ArcLoss 14.6025 MSE 7.8764  Epoch: 0   Global Step: 3100   Required: 44 hours
Training: 2023-10-30 11:38:51,114-Speed 1106.94 samples/sec   Loss 22.3204 ArcLoss 14.4722 MSE 7.8482  Epoch: 0   Global Step: 3150   Required: 44 hours
Training: 2023-10-30 11:39:08,302-Speed 1117.16 samples/sec   Loss 22.1533 ArcLoss 14.3846 MSE 7.7687  Epoch: 0   Global Step: 3200   Required: 44 hours
Training: 2023-10-30 11:39:25,268-Speed 1131.72 samples/sec   Loss 21.8628 ArcLoss 14.1838 MSE 7.6790  Epoch: 0   Global Step: 3250   Required: 44 hours
Training: 2023-10-30 11:39:42,238-Speed 1131.45 samples/sec   Loss 21.9406 ArcLoss 14.2905 MSE 7.6500  Epoch: 0   Global Step: 3300   Required: 44 hours
Training: 2023-10-30 11:39:59,132-Speed 1136.62 samples/sec   Loss 21.6361 ArcLoss 14.0011 MSE 7.6351  Epoch: 0   Global Step: 3350   Required: 44 hours
Training: 2023-10-30 11:40:15,975-Speed 1140.01 samples/sec   Loss 21.5487 ArcLoss 13.9653 MSE 7.5834  Epoch: 0   Global Step: 3400   Required: 44 hours
Training: 2023-10-30 11:40:33,027-Speed 1125.98 samples/sec   Loss 21.5153 ArcLoss 13.9498 MSE 7.5655  Epoch: 0   Global Step: 3450   Required: 44 hours
Training: 2023-10-30 11:40:49,940-Speed 1135.32 samples/sec   Loss 21.3512 ArcLoss 13.8120 MSE 7.5393  Epoch: 0   Global Step: 3500   Required: 44 hours
Training: 2023-10-30 11:41:07,006-Speed 1125.11 samples/sec   Loss 21.2554 ArcLoss 13.7840 MSE 7.4714  Epoch: 0   Global Step: 3550   Required: 44 hours
Training: 2023-10-30 11:41:24,159-Speed 1119.42 samples/sec   Loss 20.8542 ArcLoss 13.5030 MSE 7.3512  Epoch: 0   Global Step: 3600   Required: 44 hours
Training: 2023-10-30 11:41:41,130-Speed 1131.41 samples/sec   Loss 20.8725 ArcLoss 13.4959 MSE 7.3766  Epoch: 0   Global Step: 3650   Required: 44 hours
Training: 2023-10-30 11:41:58,401-Speed 1111.71 samples/sec   Loss 20.8239 ArcLoss 13.4395 MSE 7.3844  Epoch: 0   Global Step: 3700   Required: 44 hours
Training: 2023-10-30 11:42:15,891-Speed 1097.82 samples/sec   Loss 20.6836 ArcLoss 13.3545 MSE 7.3291  Epoch: 0   Global Step: 3750   Required: 44 hours
Training: 2023-10-30 11:42:32,822-Speed 1134.08 samples/sec   Loss 20.6265 ArcLoss 13.2648 MSE 7.3617  Epoch: 0   Global Step: 3800   Required: 44 hours
Training: 2023-10-30 11:42:50,079-Speed 1112.66 samples/sec   Loss 20.6454 ArcLoss 13.3008 MSE 7.3446  Epoch: 0   Global Step: 3850   Required: 44 hours
Training: 2023-10-30 11:43:06,957-Speed 1137.66 samples/sec   Loss 20.5083 ArcLoss 13.2458 MSE 7.2626  Epoch: 0   Global Step: 3900   Required: 44 hours
Training: 2023-10-30 11:43:24,311-Speed 1106.42 samples/sec   Loss 20.1523 ArcLoss 12.9755 MSE 7.1768  Epoch: 0   Global Step: 3950   Required: 44 hours
Training: 2023-10-30 11:43:41,630-Speed 1108.72 samples/sec   Loss 20.1741 ArcLoss 12.9681 MSE 7.2061  Epoch: 0   Global Step: 4000   Required: 44 hours
Training: 2023-10-30 11:43:58,842-Speed 1115.55 samples/sec   Loss 19.9392 ArcLoss 12.8180 MSE 7.1212  Epoch: 0   Global Step: 4050   Required: 44 hours
Training: 2023-10-30 11:44:16,613-Speed 1080.48 samples/sec   Loss 20.1510 ArcLoss 12.9757 MSE 7.1753  Epoch: 0   Global Step: 4100   Required: 44 hours
Training: 2023-10-30 11:44:34,409-Speed 1078.91 samples/sec   Loss 19.9507 ArcLoss 12.8446 MSE 7.1061  Epoch: 0   Global Step: 4150   Required: 44 hours
Training: 2023-10-30 11:44:52,039-Speed 1089.16 samples/sec   Loss 19.8782 ArcLoss 12.7959 MSE 7.0823  Epoch: 0   Global Step: 4200   Required: 44 hours
